Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - eyva.ai,https://www.crunchbase.com/funding_round/datazeit-seed--c4a72dcc,eyva.ai,https://www.crunchbase.com/organization/datazeit,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",2750000,EUR,2889047,2024-12-13,Seed,,,,Yes,Meet eyva - you guide to a winning product portfolio.,"Artificial Intelligence (AI), Big Data, Consumer, Information Technology, Machine Learning, Market Research, Natural Language Processing, Software, Text Analytics",,https://www.eyva.ai,Less than $1M,2750000,EUR,2889047,Seed,3,"Earlybird Venture Capital, WENVEST Capital","Earlybird Venture Capital, Robin Capital, Super Angels, True., WENVEST Capital, WEPA Ventures, xdeck",7,3,"3,495"
Seed Round - Kertos,https://www.crunchbase.com/funding_round/kertos-seed--c79f33da,Kertos,https://www.crunchbase.com/organization/kertos,Seed,"München, Bayern, Germany, Europe",4000000,EUR,4409239,2023-05-04,Seed,,,,Yes,Kertos is a software company based in Europe that develops and provides a holistic compliance and privacy platform.,"Artificial Intelligence (AI), Compliance, Legal Tech, Machine Learning, Privacy, Software",,https://kertos.io,$1M to $10M,5000000,EUR,5462154,Seed,2,Redstone.VC,"10x Founders, Christoph Baumeister, Pi Labs, Redstone.VC, seed + speed Ventures, Superlyst Ventures, VR Ventures, xdeck",8,2,"4,150"
Pre Seed Round - Kern AI,https://www.crunchbase.com/funding_round/kern-ai-pre-seed--f154b50f,Kern AI,https://www.crunchbase.com/organization/kern-ai,Pre-Seed,"Eichwalde, Brandenburg, Germany, Europe",2700000,EUR,2879954,2023-02-16,Seed,,,,Yes,Kern AI is a data-centric platform to build natural language interfaces.,"Artificial Intelligence (AI), Software",,https://www.kern.ai,,2700000,EUR,2879954,Seed,1,"Faber, Seedcamp","another.vc, Faber, Gerrit Veer, HPI Seed Fund, Julius Heinz, Marcus Nagel, Nicolas Peters, Sebastian Heinz, Seedcamp, TKM GmbH, xdeck",11,2,"32,526"
Pre Seed Round - VENMATE,https://www.crunchbase.com/funding_round/venmate-pre-seed--e33e01da,VENMATE,https://www.crunchbase.com/organization/venmate,Pre-Seed,"Berlin, Berlin, Germany, Europe",600000,EUR,653301,2024-05-15,Seed,,,,Yes,VENMATE is a Customer Success tool for B2B SaaS maximizing retention and profitability by bringing the customer back to the center,,,https://www.venmate.net/,,600000,EUR,653301,Seed,1,xdeck,"Caesar Ventures, xdeck",2,,"60,318"
Seed Round - Sunhat,https://www.crunchbase.com/funding_round/sunhat-seed--55fbdd1e,Sunhat,https://www.crunchbase.com/organization/sunhat,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",3000000,EUR,3252149,2024-02-27,Seed,,,,Yes,Sunhat is an automation tool that combines software engineering and sustainability expertise to help supply chain businesses.,"Business Information Systems, Consumer Software, Software",,https://www.getsunhat.com,,5000000,EUR,5414311,Seed,2,EnBW New Ventures,"Capnamic Ventures, EnBW New Ventures, WEPA Ventures, xdeck",4,3,"78,016"
Pre Seed Round - Orq.ai,https://www.crunchbase.com/funding_round/orqai-pre-seed--8059cfe1,Orq.ai,https://www.crunchbase.com/organization/orqai,Pre-Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",1500000,EUR,1638986,2024-03-12,Seed,,,,Yes,Orq.ai enables companies to integrate and operate their products using the power of LLMs through a single collaboration platform.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software",,https://orq.ai,,2300000,EUR,2477380,Seed,2,"xdeck, XO Ventures","Curiosity VC, Spacetime, xdeck, XO Ventures",4,2,"82,360"
Seed Round - SureIn,https://www.crunchbase.com/funding_round/surein-seed--a5b311a1,SureIn,https://www.crunchbase.com/organization/surein,Seed,"Berlin, Berlin, Germany, Europe",4000000,EUR,4361812,2023-08-15,Seed,,,,Yes,SureIn is a developer of an insurance management application designed to make business insurance efficient.,"Information Technology, InsurTech, Software",,https://www.surein.de,$1M to $10M,4000000,EUR,4361812,Seed,2,PactVC,"Atlantic Labs, neoteq ventures, PactVC, Robin Haak, Sequoia Arc, Vincenz Klemm, Warrick Shanly, xdeck",8,2,"95,668"
Series A - Packmatic,https://www.crunchbase.com/funding_round/packmatic-series-a--5f799bdc,Packmatic,https://www.crunchbase.com/organization/packmatic,Series A,"Berlin, Berlin, Germany, Europe",15000000,EUR,16321947,2024-01-24,Early Stage Venture,,,,Yes,Packmatic is a digital product packaging platform that sources packing solutions.,"Digital Media, Packaging Services, Supply Chain Management",,https://www.packmatic.io/,$1B to $10B,15000000,EUR,16321947,Early Stage Venture,2,EQT Ventures,"Christian Hülsewig, Christian Vollmann, Christian Weiss, David Khalil, David Schneider, EQT Ventures, HV Capital, Johannes Schaback, Lukas Brosseder, Martin Rost, Oliver Roskopf, Paul Crusius, Robert Maier, Rubin Ritter, xdeck",15,1,"132,419"
Seed Round - Floy,https://www.crunchbase.com/funding_round/floy-seed--920663a1,Floy,https://www.crunchbase.com/organization/floy,Seed,"Munich, Bayern, Germany, Europe",5400000,EUR,5860730,2023-11-16,Seed,,,,Yes,Developing AI to support radiologists in seeing diseases difficult to detect.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, SaaS, Software",,https://www.floy.com/,,8800000,EUR,9497529,Seed,3,HV Capital,"10x Founders, Acurio Ventures, HV Capital, Saarbruecker 21, xdeck",5,1,"183,536"
Pre Seed Round - Kertos,https://www.crunchbase.com/funding_round/kertos-pre-seed--1d96e299,Kertos,https://www.crunchbase.com/organization/kertos,Pre-Seed,"München, Bayern, Germany, Europe",1000000,EUR,1052915,2022-05-10,Seed,,,,Yes,Kertos is a software company based in Europe that develops and provides a holistic compliance and privacy platform.,"Artificial Intelligence (AI), Compliance, Legal Tech, Machine Learning, Privacy, Software",,https://kertos.io,$1M to $10M,5000000,EUR,5462154,Seed,2,10x Founders,"10x Founders, Benedikt Martin Quarch, Fabian Wesemann, Lisa Gradow, Phillip Eischet, Ronny Shibley, Sebastian Schaal, Superlyst Ventures, xdeck",9,,"196,850"
